Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1709155890079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.3333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155890329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155890579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155890829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8571,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155891079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155891329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155891579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155891829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.7143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155892079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155892329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.3333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155892579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155892829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.7143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155893079,1,1010123456002,71,,1,0,9,1,0,,0,3,0,0.0072,1,0,14.8333,,15.4091,44,0,0.626368,13,0,0,32.1419,31,,7,9,,0,0,0,1
1709155893329,1,1010123456002,71,,1,0,9,1,0,,13.3532,218,0,0.507968,62,0,14.5,,15.2717,92,0,1.16374,27,0,0,32.0647,31,,1960,552,,0,0,0,1
1709155893579,1,1010123456002,71,,1,0,9,1,0,,0,3,0,0.002336,1,0,14.6667,,0,0,0,0,0,0,0,0,0,,3,3,,0,0,0,0
1709155893829,1,1010123456002,71,,1,0,6,1,0,,0,0,0,0,0,0,14.7143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155894079,1,1010123456002,71,,1,0,6,1,0,,0,0,0,0,0,0,14.8333,,0,3,0,0.1,1,0,0,0,31,,0,0,,0,0,0,0
1709155894329,1,1010123456002,71,,1,0,6,1,0,,13.2184,87,0,0.125792,23,0,14.6667,,15.4737,76,0,0.949344,22,0,0,32.3566,31,,539,144,,0,0,0,1
1709155894579,1,1010123456002,71,,1,0,6,1,0,,13.5897,312,0,0.525248,90,0,14.5,,15,84,0,1.0456,25,0,0,32.4529,31,,3563,546,,0,0,0,1
1709155894829,1,1010123456002,71,,1,0,6,1,0,,12.8621,58,0,0.084096,16,0,15,,13.2857,7,0,0.1,2,0,0,35.5179,0,,327,93,,0,0,0,1
1709155895079,1,1010123456002,71,,1,0,6,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155895329,1,1010123456002,71,,1,0,6,1,0,,0,0,0,0,0,0,15,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155895579,1,1010123456002,71,,1,0,6,1,0,,13,4,0,0.005408,1,0,14.5,,13.2857,7,0,0.1,2,0,0,35.4715,31,,5,6,,0,0,0,1
1709155895829,1,1010123456002,71,,1,0,6,1,0,,13.7921,327,0,0.56496,93,0,14.7143,,15.55,140,0,2.11677,41,0,0,31.5049,31,,4395,585,,0,0,0,1
1709155896079,1,1010123456002,71,,1,0,6,1,0,,13.9736,759,67375,1.276,207,0,14.6667,,15.4746,118,0,1.40538,34,0,0,32.3609,31,,10968,1368,,0,0,0,1
1709155896329,1,1010123456002,71,,1,1,21,1,1,,14.0625,832,152745,1.69664,236,0,14.5,,14.6774,93,0,0.775264,27,0,0,33.9353,31,,12450,1824,,0,0,0,1
1709155896579,1,1010123456002,71,,1,1,21,1,1,,14.6857,875,162868,5.8064,250,0,13.1667,,14.8319,113,0,1.27888,33,0,0,32.7277,31,,12500,5250,,0,0,0,1
1709155896829,1,1010123456002,71,,1,1,21,1,1,,14.6857,875,160583,5.8064,250,0,12.5714,,15.243,107,0,1.34218,31,0,0,31.9824,31,,12500,5250,,0,0,0,1
1709155897079,1,1010123456002,71,,1,1,15,1,1,,14.6949,875,102967,5.7081,250,0,12.6667,,13.7805,41,0,0.11584,12,0,0,35.9752,31,,12500,5112,,0,0,0,1
1709155897329,1,1010123456002,71,,1,1,15,1,1,,14.7902,696,0,3.4625,207,0,13.6667,,0,0,0,0,0,0,0,0,0,,9742,2985,,0,0,0,0
1709155897579,1,1010123456002,71,,1,1,15,1,1,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155897829,1,1010123456002,71,,1,1,21,1,1,,14.6848,441,124083,2.00442,118,0,14.2857,,15.2577,97,0,1.22698,28,0,0,32.0902,31,,6112,1968,,0,0,0,1
1709155898079,1,1010123456002,71,,1,1,21,1,1,,14.6857,875,142326,5.8064,250,0,12,,14.7073,82,0,0.809984,24,0,0,33.1485,31,,12500,5250,,0,0,0,1
1709155898329,1,1010123456002,71,,1,1,21,1,1,,14.6857,875,19375,5.8064,250,0,12.8333,,13.4211,38,0,0.106592,11,0,0,36.0633,31,,12500,5250,,0,0,0,1
1709155898579,1,1010123456002,71,,1,1,21,1,1,,14.6489,94,0,0.809184,35,0,14.3333,,0,0,0,0,0,0,0,0,0,,1212,567,,0,0,0,0
1709155898829,1,1010123456002,71,,1,1,21,1,1,,0,0,0,0,0,0,14.5714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155899079,1,1010123456002,71,,1,1,21,1,1,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155899329,1,1010123456002,71,,1,1,21,1,1,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155899579,1,1010123456002,71,,1,1,21,1,1,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155899829,1,1010123456002,71,,1,2,26,1,2,,0,0,0,0,0,0,14.7143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155900079,1,1010123456002,71,,1,1,15,1,1,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155900329,1,1010123456002,71,,1,1,15,1,1,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155900579,1,1010123456002,71,,1,2,26,1,2,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155900829,1,1010123456002,71,,1,2,26,1,2,,0,0,0,0,0,0,14.8571,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155901079,1,1010123456002,71,,1,0,9,1,0,,9.61905,21,0,0.012,6,0,14.6667,,15.6,45,0,0.605472,13,0,0,32.0341,31,,18,18,,0,0,0,1
1709155901329,1,1010123456002,71,,1,1,15,1,1,,11,4,0,0.004128,1,0,14.3333,,0,0,0,0,0,0,0,0,0,,5,6,,0,0,0,0
1709155901579,1,1010123456002,71,,1,1,15,1,1,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155901829,1,1010123456002,71,,1,2,23,1,2,,0,0,0,0,0,0,14.8571,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155902079,1,1010123456002,71,,1,2,26,1,2,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155902329,1,1010123456002,71,,1,1,15,1,1,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155902579,1,1010123456002,71,,1,1,15,1,1,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155902829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8571,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155903079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155903329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155903579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155903829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.4286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155904079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155904329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155904579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,15,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155904829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.4286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155905079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155905329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155905579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155905829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,15,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155906079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155906329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155906579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155906829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.7143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155907079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155907329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155907579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155907829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155908079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155908329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155908579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155908829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.7143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155909079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155909329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155909579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155909829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155910079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155910329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155910579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155910829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155911079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155911329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.6667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155911579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155911829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.4286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155912079,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155912329,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.8333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155912579,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1709155912829,1,1010123456002,71,,1,0,9,1,0,,0,0,0,0,0,0,14.7143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
